Date,Open,High,Low,Close,Adj Close,Volume
2023-11-09,15352.190430,15401.280273,15229.509766,15235.179688,15235.179688,3900780000
2023-11-10,15235.179688,15396.480469,15207.580078,15388.440430,15388.440430,3665080000
2023-11-13,15388.440430,15433.740234,15321.530273,15403.139648,15403.139648,3326240000
2023-11-14,15403.139648,15771.870117,15403.139648,15732.669922,15732.669922,4700350000
2023-11-15,15732.669922,15848.540039,15732.669922,15765.019531,15765.019531,4347170000
2023-11-16,15765.019531,15767.509766,15663.709961,15716.549805,15716.549805,3964520000
2023-11-17,15716.549805,15822.580078,15716.549805,15813.459961,15813.459961,3777240000
2023-11-20,15813.459961,15916.860352,15782.469727,15881.629883,15881.629883,3644790000
2023-11-21,15881.629883,15893.009766,15848.240234,15861.570313,15861.570313,3511080000
2023-11-22,15861.570313,15920.389648,15856.299805,15907.889648,15907.889648,3042810000
2023-11-24,15907.889648,15998.299805,15907.889648,15983.820313,15983.820313,1639500000
2023-11-27,15983.820313,15983.820313,15912.980469,15930.889648,15930.889648,3403990000
2023-11-28,15930.889648,15993.870117,15897.469727,15929.150391,15929.150391,3586240000
2023-11-29,15929.150391,16033.049805,15929.150391,15962.990234,15962.990234,4418760000
2023-11-30,15962.990234,16094.259766,15962.990234,16088.839844,16088.839844,5399300000
2023-12-01,16088.839844,16271.700195,16062.040039,16263.750000,16263.750000,4397120000
2023-12-04,16263.750000,16272.929688,16163.660156,16232.820313,16232.820313,4369910000
2023-12-05,16232.820313,16232.820313,16108.730469,16123.040039,16123.040039,3909950000
2023-12-06,16123.040039,16236.839844,16081.780273,16092.370117,16092.370117,4245680000
2023-12-07,16092.370117,16148.860352,16089.490234,16136.849609,16136.849609,3818880000
2023-12-08,16136.849609,16225.950195,16126.650391,16207.759766,16207.759766,3707010000
2023-12-11,16207.759766,16278.830078,16207.759766,16274.440430,16274.440430,3823210000
2023-12-12,16274.440430,16301.790039,16194.929688,16285.940430,16285.940430,3808380000
2023-12-13,16285.940430,16562.740234,16250.160156,16560.710938,16560.710938,5063650000
2023-12-14,16560.710938,16774.070313,16560.710938,16723.919922,16723.919922,6314040000
2023-12-15,16723.919922,16723.919922,16571.560547,16609.839844,16609.839844,8218980000
2023-12-18,16609.839844,16698.279297,16609.839844,16656.759766,16656.759766,4060340000
2023-12-19,16656.759766,16799.609375,16656.759766,16798.400391,16798.400391,4026970000
2023-12-20,16798.400391,16813.359375,16532.789063,16534.720703,16534.720703,4201320000
2023-12-21,16534.720703,16728.490234,16534.720703,16724.919922,16724.919922,3431180000
2023-12-22,16724.919922,16827.039063,16716.720703,16770.449219,16770.449219,3046770000
2023-12-26,16770.449219,16898.839844,16770.449219,16859.490234,16859.490234,2513910000
2023-12-27,16859.490234,16914.650391,16844.740234,16898.339844,16898.339844,2748450000
2023-12-28,16898.339844,16933.619141,16880.720703,16890.580078,16890.580078,2698860000
2023-12-29,16890.580078,16908.830078,16813.240234,16852.890625,16852.890625,3126060000
2024-01-02,16852.890625,16894.509766,16757.779297,16841.619141,16841.619141,3743050000
2024-01-03,16841.619141,16841.619141,16690.519531,16718.650391,16718.650391,3950760000
2024-01-04,16718.650391,16837.550781,16715.140625,16715.710938,16715.710938,3715480000
2024-01-05,16715.710938,16851.529297,16698.970703,16758.240234,16758.240234,3844370000
2024-01-08,16758.240234,16886.380859,16698.220703,16885.369141,16885.369141,3742320000
2024-01-09,16885.369141,16885.369141,16748.609375,16773.070313,16773.070313,3529960000
2024-01-10,16773.070313,16840.650391,16759.000000,16818.880859,16818.880859,3498680000
2024-01-11,16818.880859,16840.039063,16673.000000,16781.119141,16781.119141,3759890000
2024-01-12,16781.119141,16909.169922,16764.589844,16799.539063,16799.539063,3486340000
2024-01-16,16799.539063,16799.539063,16599.720703,16639.380859,16639.380859,4260550000
2024-01-17,16639.380859,16639.380859,16462.859375,16522.830078,16522.830078,3928600000
2024-01-18,16522.830078,16629.220703,16478.820313,16616.289063,16616.289063,4019000000
2024-01-19,16616.289063,16745.970703,16558.910156,16729.550781,16729.550781,4287200000
2024-01-22,16729.550781,16831.619141,16729.550781,16779.490234,16779.490234,4297610000
2024-01-23,16779.490234,16827.429688,16749.679688,16800.859375,16800.859375,3912800000
2024-01-24,16800.859375,16923.259766,16766.669922,16769.250000,16769.250000,4330030000
2024-01-25,16769.250000,16890.519531,16769.250000,16889.519531,16889.519531,4020430000
2024-01-26,16889.519531,16970.900391,16889.519531,16949.109375,16949.109375,3353400000
2024-01-29,16949.109375,17042.400391,16915.400391,17040.599609,17040.599609,3525160000
2024-01-30,17040.599609,17107.560547,16996.730469,17089.460938,17089.460938,3836130000
2024-01-31,17089.460938,17123.199219,16910.349609,16911.130859,16911.130859,4696120000
2024-02-01,16911.130859,17116.210938,16906.169922,17115.580078,17115.580078,4386090000
2024-02-02,17115.580078,17167.679688,16990.970703,17101.970703,17101.970703,3974350000
2024-02-05,17101.970703,17101.970703,16932.560547,17004.779297,17004.779297,4023640000
2024-02-06,17004.779297,17135.580078,17004.779297,17135.480469,17135.480469,4440880000
2024-02-07,17135.480469,17236.029297,17135.480469,17212.320313,17212.320313,4895590000
2024-02-08,17212.320313,17259.449219,17175.470703,17252.320313,17252.320313,4341860000
2024-02-09,17252.320313,17286.470703,17196.509766,17275.869141,17275.869141,3912990000
2024-02-12,17275.869141,17385.220703,17271.150391,17332.460938,17332.460938,3805740000
2024-02-13,17332.460938,17332.460938,16965.939453,17068.539063,17068.539063,4302190000
2024-02-14,17068.539063,17243.140625,17068.539063,17240.189453,17240.189453,3845600000
2024-02-15,17240.189453,17450.779297,17240.189453,17434.929688,17434.929688,4137970000
2024-02-16,17434.929688,17502.539063,17378.380859,17409.300781,17409.300781,3833270000
2024-02-20,17409.300781,17409.300781,17314.580078,17340.169922,17340.169922,4034880000
2024-02-21,17340.169922,17386.970703,17278.140625,17382.679688,17382.679688,3788390000
2024-02-22,17382.679688,17602.359375,17382.679688,17565.070313,17565.070313,4051710000
2024-02-23,17565.070313,17642.099609,17565.070313,17616.019531,17616.019531,3672790000
2024-02-26,17616.019531,17659.220703,17547.750000,17566.609375,17566.609375,3683930000
2024-02-27,17566.609375,17605.740234,17560.310547,17598.320313,17598.320313,3925950000
2024-02-28,17598.320313,17612.429688,17530.599609,17573.689453,17573.689453,3789370000
2024-02-29,17573.689453,17634.740234,17543.269531,17607.429688,17607.429688,5219740000
2024-03-01,17607.429688,17738.140625,17603.890625,17728.269531,17728.269531,4748110000
2024-03-04,17728.269531,17790.080078,17724.300781,17748.699219,17748.699219,4758440000
2024-03-05,17748.699219,17793.460938,17613.470703,17669.490234,17669.490234,4418410000
2024-03-06,17669.490234,17865.990234,17669.490234,17801.039063,17801.039063,4559050000
2024-03-07,17801.039063,17949.669922,17801.039063,17927.619141,17927.619141,4137980000
2024-03-08,17927.619141,18021.869141,17860.099609,17889.619141,17889.619141,4208870000
2024-03-11,17889.619141,17889.619141,17755.029297,17863.689453,17863.689453,3896430000
2024-03-12,17863.689453,17994.279297,17857.669922,17974.060547,17974.060547,4080510000
2024-03-13,17974.060547,18064.119141,17974.060547,18018.630859,18018.630859,4282890000
2024-03-14,18018.630859,18030.919922,17797.580078,17886.269531,17886.269531,4687970000
2024-03-15,17886.269531,17902.599609,17805.599609,17848.080078,17848.080078,7753670000
2024-03-18,17848.080078,17922.140625,17846.089844,17882.310547,17882.310547,4036220000
2024-03-19,17882.310547,17983.740234,17867.830078,17975.789063,17975.789063,4031760000
2024-03-20,17975.789063,18143.080078,17938.320313,18130.080078,18130.080078,4064850000
