Country Name	Country Code	Series Name	Series Code	2021 [YR2021]
Estonia	EST	Account used to receive wages (% age 15+)	GFDD.AI.11	69.52655
Estonia	EST	Credit card (% age 15+)	GFDD.AI.20	34.86154
Estonia	EST	Debit card (% age 15+)	GFDD.AI.21	96.72621
Estonia	EST	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	97.72344
Estonia	EST	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	32.4419
France	FRA	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.2443
France	FRA	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	53.70019
France	FRA	Account used to receive wages (% age 15+)	GFDD.AI.11	37.03391
France	FRA	Credit card (% age 15+)	GFDD.AI.20	39.76272
France	FRA	Debit card (% age 15+)	GFDD.AI.21	86.34103
France	FRA	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	98.37606
France	FRA	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	11.88829
Finland	FIN	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.53019
Finland	FIN	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	62.04055
Finland	FIN	Account used to receive wages (% age 15+)	GFDD.AI.11	62.23597
Finland	FIN	Credit card (% age 15+)	GFDD.AI.20	65.29479
Finland	FIN	Debit card (% age 15+)	GFDD.AI.21	97.42493
Finland	FIN	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	97.70734
Finland	FIN	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	45.87014
Germany	DEU	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.97659
Germany	DEU	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	57.14231
Germany	DEU	Account used to receive wages (% age 15+)	GFDD.AI.11	47.65447
Germany	DEU	Credit card (% age 15+)	GFDD.AI.20	56.51536
Germany	DEU	Debit card (% age 15+)	GFDD.AI.21	94.01046
Germany	DEU	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	99.48073
Germany	DEU	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	9.432998
Greece	GRC	Account at a formal financial institution (% age 15+)	GFDD.AI.05	94.8841
Greece	GRC	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	26.48666
