Date;Open NYA;High NYA;Low NYA;Close NYA;Adj Close NYA; Volume NYA;Open IXIC;High IXIC;Low IXIC;Close IXIC;Adj Close IXIC;Volume IXIC;Open RUT;High RUT;Low RUT;Close RUT;Adj Close RUT;Volume RUT
Dec 29, 2022;15,037.32;15,269.06;15,037.32;15,241.21;15,241.21;3,003,680,000;10,321.46;10,502.08;10,301.06;10,478.09;10,478.09;4,154,100,000;1,727.33;1,767.91;1,727.33;1,766.25;1,766.25;3,003,680,000
Dec 28, 2022;15,218.26;15,268.70;15,033.47;15,037.32;15,037.32;3,083,520,000;10,339.20;10,414.82;10,207.47;10,213.29;10,213.29;3,842,970,000;1,749.93;1,753.93;1,722.02;1,722.02;1,722.02;3,083,520,000
Dec 27, 2022;15,188.45;15,255.35;15,142.41;15,218.26;15,218.26;3,030,300,000;10,462.19;10,472.32;10,340.73;10,353.23;10,353.23;3,827,290,000;1,761.38;1,761.65;1,745.44;1,749.52;1,749.52;3,030,300,000
Dec 23, 2022;15,081.53;15,188.57;15,025.73;15,188.45;15,188.45;2,819,280,000;10,437.75;10,514.76;10,361.82;10,497.86;10,497.86;3,544,680,000;1,753.20;1,761.24;1,743.74;1,760.93;1,760.93;2,819,280,000
Dec 22, 2022;15,219.55;15,219.55;14,871.16;15,081.53;15,081.53;3,956,950,000;10,586.46;10,599.34;10,313.32;10,476.12;10,476.12;5,125,070,000;1,766.67;1,766.67;1,726.81;1,754.09;1,754.09;3,956,950,000
Dec 21, 2022;15,000.62;15,250.91;15,000.62;15,219.55;15,219.55;3,775,200,000;10,592.00;10,753.57;10,569.20;10,709.37;10,709.37;4,401,420,000;1,757.69;1,784.11;1,757.69;1,776.94;1,776.94;3,775,200,000
Dec 20, 2022;14,938.03;15,056.58;14,922.67;15,000.62;15,000.62;3,985,370,000;10,490.89;10,609.46;10,446.82;10,547.11;10,547.11;4,707,190,000;1,735.47;1,755.08;1,733.21;1,748.02;1,748.02;3,985,370,000
Dec 19, 2022;15,018.17;15,066.32;14,866.80;14,938.03;14,938.03;3,969,610,000;10,707.44;10,713.97;10,497.55;10,546.03;10,546.03;4,631,820,000;1,763.94;1,765.54;1,733.82;1,738.58;1,738.58;3,969,610,000
Dec 16, 2022;15,182.28;15,182.28;14,920.18;15,018.17;15,018.17;7,493,660,000;10,767.63;10,833.24;10,642.10;10,705.41;10,705.41;7,968,170,000;1,759.55;1,765.64;1,746.25;1,763.42;1,763.42;7,493,660,000
Dec 15, 2022;15,494.98;15,494.98;15,120.97;15,182.28;15,182.28;4,493,900,000;11,012.62;11,029.57;10,775.61;10,810.53;10,810.53;5,536,070,000;1,806.74;1,806.74;1,770.56;1,774.61;1,774.61;4,493,900,000
